sub,nPC_sel,RegWr,RegDst,ExtOp,ALUSrc,ALUctr,MemWr,MemtoReg,test,call of new structure
,,,,,,,,,,
add,0,1,1,x,0,ADD,0,0,3,
sub,0,1,1,x,0,SUB,0,0,ok,
ori,0,1,0,0,1,OR,0,0,,
lw,0,1,0,1,1,ADD,0,1,,
sw,0,0,x,1,1,ADD,1,x,,
beq,1,0,x,11,1,SUB,0,x,,
lui,0,1,0,10,1,111,0,0,ok,
addi,0,1,0,1,1,ADD,0,0,ok,
addiu,0,1,0,1,1,ADD,0,0,2,
subu,0,1,1,x,0,SUB,0,0,ok,
and,0,1,1,x,0,AND,0,0,,
andi,0,1,0,0,1,AND,0,0,,
bne,10,0,0,11,1,SUB,0,0,,
j,11,0,0,0,0,xxx,0,0,,yes
jal,100,1,0,0,0,xxx,0,2,,
jr,101,0,0,0,0,sendA,0,0,,
lbu,0,1,0,Sign,1,ADD,0,1,,yes
lhu,0,1,0,Sign,1,ADD,0,1,,
ll,0,1,0,Sign,1,ADD,0,1,,
nor,0,1,1,0,0,NOR,0,0,,
or,0,1,1,0,0,OR,0,0,,
slt,0,1,1,x,0,SLT,0,0,,
slti,0,1,0,Sign,1,SLT,0,0,,
sltiu,0,1,0,Sign,1,SLT,0,0,,
sltu,0,1,1,x,0,SLT,0,0,,
sll,0,1,1,x,0,Lshamt,0,0,,yes
srl,0,1,1,x,0,Rshamt,0,0,,
sb,0,0,0,Sign,1,ADD,2,0,,
sc,0,1,0,Sign,1,ADD,3,1,,
sh,0,0,0,Sign,1,ADD,4,0,,
stop,110,0,0,0,0,1010,101,11,ok,
nop,0,0,0,0,0,1010,101,11,,
